URL,Job Title,Company name,Type,Location,Job Description
https://www.jobteaser.com/fr/job-offers/10285314-adidas-ag-internship-digital-buying-planning-trading-m-f-d,"Internship - Digital Buying, Planning & Trading (m/f/d)",adidas AG,Stage 6 mois ,Herzogenaurach (Germany) ,"An internship at adidas provides you with a unique opportunity to apply what you have learned at university, use your knowledge in practice and live your passion for sports.

JOIN THE DIGITAL BUYING, PLANNING & TRADING TEAM
The Digital Buying, Planning & Trading team is responsible for the pre season buy and in season management of products online across all categories. Working closely with many teams across the business in a fast paced environment to identify opportunities to achieve targets and drive incremental growth.
YOUR TASKS:
Learn key eCom Buying & Planning processes and understand product cycle from ranging to clearance
Support and learn pricing and promotions activities critical to commercial success of the business.
Support the merchandising operations team by keeping the information accurate and recent into the key seasonal range files in line with various digital systems that allow products to be ranged and launch online
Support both tracking and reporting on key KPIs for products and launches to highlight opportunities and risks
Alignment with key stake holders to drive aligned expectations across product launches
 
YOUR PROFILE:
Student with a focus on Business, e-commerce, Sales, Marketing or similar
Enrolled as full-time student for the complete duration of the internship
Or in the so-called gap year between Bachelor and Master’s degree (gap year regulation only applicable to EU citizens due to working permit regulations)
Candidates in penultimate year of study preferred (following the internship, students should have maximum one year to graduate).
Strong numerical skills and ability to analyze data
Structured, organized and process orientated, with an analytical mindset
High resilience and solution-oriented attitude
Team player who enjoys working in an international environment
Very good communication and interpersonal skills
Strong MS Office skills, especially with Excel
Fluent in English both verbally and written

KEY FACTS:
Application Deadline: March 15th, 2023
Start Date: September 15th, 2023
Duration: 6 months
Location: adidas Headquarters in Herzogenaurach (near Nuremberg)
 
YOUR APPLICATION:
At adidas we believe that “Impossible is Nothing”. As part of your application, we’d like you to tell us what this phrase means to you. Think of what makes you passionate about joining the brand and why you want this role. The format is totally up to you! If you are creative minded, show us. If you're analytical, share more! If you prefer to simply put pen to paper, go for it. Your '1 pager' can be submitted as print, visual, written, digital or a link. The only requirement is that the 1 pager is submitted as a PDF.
Please apply in the same language as the job description
Be aware that incomplete applications will not be considered
Make your move to the World of Sports.
Check out: www.herzo.adidas-group.com"
https://www.jobteaser.com/fr/job-offers/10303099-aperam-lead-buyer-industrial-services,Lead buyer industrial services,Aperam,CDI ,Genk (Belgium) ,"We are looking for a Lead buyer industrial services (M/F)

 Reporting to
Category manager industrial services Europe
 Operating Unit
Global Purchasing Platform
 Professional Field
Purchasing
 Location
France / Belgium

About Us

The Global Purchasing Platform of Aperam regroups all the non-raw material purchasing community of the group and has the prime mission to leverage its >1 BUSD spend across all countries bringing in innovative solutions from the market, leveraging synergies across plants / continents and ultimately actively contribute to cost & innovation leadership of our plants operations.

Mission                    
As a Lead Buyer, you actively participate in the category strategy design and  its implementation in your geographical perimeter, in close alignment with the relevant business partners. Thanks to your market expertise and strategic mindset, you influence the suppliers’ ecosystem, promote the development of relevant partnerships with Aperam, and run tendering processes autonomously, to optimize Aperam’s TCO.
Responsibilities
As a top-notch lead buyer:

You ensure excellent purchasing performance as you:
Timely participate in the strategy definition with the Category Manager, and implement it for large & mid-size tenders across sites
Autonomously lead large & mid-size unplanned (transversal and/or local) call for tenders
Participate in make-or-buy opportunity assessments
Align, identify synergies and benchmark with other Aperam lead buyers, as well as with other industrial companies with whom we partner
Drive TCO improvement initiatives, in close collaboration with stakeholders.
Make sure established contracts are executed in compliance with defined buying channels & contractual terms
Participate to the yearly budget preparation and ensure the follow-up on actuals

You are driving compliance and efficiency, making sure that applicable purchasing tools/systems for the category are actually used and the Global Purchasing Policy, implemented. You manage risks by transversal analysis, including supplier risk profile, and you understand that as an Aperam employee, you will uphold health & safety and ethical standards at all times, treating your stakeholders accordingly.

Your profile
You are driven, take ownership and accountability for your area of responsibility, with a high level of autonomy
You have strong  influencing and change management skills, supported by an open mindset and  a can-do mentality
You are aware of the environment with an innovative mindset and eagerness to learn
You have a technical expertise on purchasing processes & negotiation
You speak English & French fluently, which supports your excellent communication skills
Your education:
Engineering or business administration academics
Your experience:
You have been able to sharpen your skills for at least 5 years in strategic purchasing

Your mobility:
You are mobile in your assigned cluster. Traveling will be a big part of this position, but flexibility in this matter can be offered."
https://www.jobteaser.com/fr/job-offers/10300190-ipsen-procurement-intern,Procurement Intern,Ipsen,Stage 4 à 6 mois ,Boulogne-Billancourt (France) ,"Title:
Procurement Intern

Company:
Ipsen Pharma (SAS)

Job Description:

#IpsenTraineeSquad

Ipsen is pleased to open a 6-month internship in the Global Procurement team! We are looking for a motivated English-speaking, MBA, Management, or Procurement student. He/She will join our Manufacturing Procurement team and will be based in our HQ office in Boulogne-Billancourt.

Main responsibilities / job expectations

1. Supplier Relationship Management (SRM)
Support the proper execution of our SRM Program: data collection, support slide deck preparation, manage and track with the support of the local buyers the preferred suppliers performance
Organize Supplier Day events

Provide support to the Global Category Leaders and Procurement Site Heads
Contribute to build a Contract data base to be used by the Manufacturing Procurement community (contract identification, collect of contract numbers, starting and end dates...)
Perform an analysis of the Manufacturing spend (per category and sub category) / Identify gaps and define corrective action plan
Contribute to Preferred vendors list definition, update and use
Support the Process to automatically change prices in SAP

RFP Management
Support the proper execution of an RFP in collaboration with the Global Category Leader and the stakeholders (identification of the business needs, data collection, preparation of the RFP package, bid defense, offers analysis, award decision...)

Knowledge, abilities & experience

Education / Certifications:
Master's degree in management with preferably specialization in Procurement.

Experience:
Experience in global and multicultural environment is a plus.
Fluent in both English and French.
Excellent organizational skills and the ability to manage and coordinate multiple projects concurrently, meeting established timelines.
Rigorous
Ability to work autonomously, with flexibility and commitment
Microsoft Excel, Word and PowerPoint

Dans le cadre de ses recrutements IPSEN s'engage au respect de l'égalité de traitement des candidats, indépendamment du sexe, de l'âge, de l'orientation sexuelle, de l'origine ethnique, de la couleur de la peau, de la nationalité, du handicap ou de l'appartenance à un syndicat."
https://www.jobteaser.com/fr/job-offers/10270969-deutsche-borse-group-intern-onboarding-technology-suppliers-in-sap-ariba-f-m-d,Intern - Onboarding Technology Suppliers in SAP Ariba (f/m/d),Deutsche Börse Group,Stage 4 à 6 mois ,Frankfurt (Germany) ,"Learn. Develop. Grow. But always: Share value

Join our international team that drives positive change, united by a spirit of openness and curiosity. We empower you to have an impact and to grow - personally and professionally. With us, you work at the heart of financial systems and evolve the way markets operate. We're excited about the future because we are the ones shaping it. Let´s do this together by sharing value!

Who we are

Tracing its origins to 1585, Deutsche Börse Group has become one of the world's leading exchange organisations and an innovative market infrastructure provider. In this role, we provide investors, financial institutions and companies access to global capital markets. What's your part in all this? With your commitment you contribute to the success of our unique business model: offering a wide range of products, services and technologies for security, transparency and integrity on the markets. By creating trust in the markets of today and tomorrow we foster growth and contribute to the prosperity of future generations.

Frankfurt am Main

Your career at Deutsche Börse Group

Field of activity

As an intern (f/m/d) you will support the team in the Technology purchasing department, specifically the onboarding process of new technology suppliers.
Tasks/responsibilities

You will assist in the Invitation for onboarding with suppliers.
You will gain interesting insights in both Liaison with supplier and client, via a process of escalation if required.
You will assist inTracking and updating the progress of the onboarding and providing feedback to management, the client and supplier.
You will be requested to articulate any issues clearly to client and management.
You will gain interesting insights into the importance of technology purchasing and other broader tasks.

Qualifications/required skills

You are enrolled during the entire period of activity at a state-recognized university as a regular student in the field of Informatics, Business or Economics and have completed at least 2 semesters or you already hold a Bachelor's/Master's degree that is not older than 6 months.
Ideally, you have already gained first practical experience in the context of internships.
You have good prioritising skills, are able to work independently and you are self-motivated.
You have good knowledge in MS office and ideally also some experience with SAP Ariba.
You are fluent in written and spoken English and German.
Start date: 01.02.2023"
https://www.jobteaser.com/fr/job-offers/10103701-kingspan-group-kingspan-graduate-programme-business,Kingspan Graduate Programme - Business,,CDI ,"(Germany), (Poland), (Belgium), (Denmark), (Norway), (United States) ","Kingspan Graduate Programme – Business Stream

Kingspan welcomes graduates from many disciplines, but whatever your area of study, we are looking for graduates who are ready to take responsibility, be challenged and work on their own initiative.  In return we will support you in developing a career that really matters, give you the opportunity to work and live around the world and of course offer a competitive salary and benefits.  
We have opportunities in our Business Stream in various locations and we are keen to hear from graduates wishing to join the global leader in high-performance insulation and building envelope solutions.  
Here is some information about what you can expect if you join Kingspan.

Examples of the types of role:
Financial Accountant
Management Accountant
Accounts Payable/Accounts Receivable
Procurement Graduate
Digital Content Executive
HR Administrator/Assistant
Project Coordinator
 What you could be doing, depending on your role:
You could find yourself working on one or more of the following:
The preparation of monthly management accounts
The collation of financial information for the monthly management pack
Financial analysis and planning
Preparation of statutory accounts
Liaising with the Group’s auditors as part of the annual audit process
The development of company websites and other digital media
Active participation on digital project teams to implement whole new ways of working
Liaising with product development teams on new product ideas
Assisting with attraction and recruitment campaigns
Working on employee well-being and recognition initiatives
 The skills and competencies you will need:
Sound decision making
Excellent team working and collaboration skills
High levels of accuracy and attention to detail
 Candidate Requirements
You should be no more than 12 months post- graduation
You must be eligible to live and work in Europe or North America dependent on the location of the vacancy
You will need to have a qualification in a relevant discipline e.g.
Finance and Accountancy
Business Studies/Administration
IT
Supply Chain Management
HR
Law
Sustainability Management
 What we can offer you:
Full-time employment from Day 1
The opportunity to live and work across the globe and in any of our 6 divisions:-
Insulation
Insulated Panels
Light and Air
Water and Energy
Data and Flooring
Waterproofing and Roofing
Competitive salary
A graduate development programme aimed at accelerating your career development
Access to business leaders
A dynamic, fast-paced work environment"
https://www.jobteaser.com/fr/job-offers/10265009-emma-the-sleep-company-global-buyer,Global Buyer,Emma - The Sleep Company,CDI ,Lisbon (Portugal) ,"Ready to lead, disrupt and reinvent the sleep industry?

We are Emma - The Sleep Company. Created in 2013, we are now the world's largest D2C sleep brand, available in over 30 countries and recommended by many consumer associations in EMEA, APAC, and the Americas. We're pushing the boundaries of technology to transform the world of sleep and we want your help to pull it off.

We're a highly ambitious, hard-working team that pushes you to produce your best work yet. We focus on how we approach problems, we chase growth, and set ambitious goals. Want your ideas to have an impact and your career to grow? Then Emma is the right place for you.

What you'll do:
As part of the global procurement team, you will help be part of our global supply chain team, having the chance to manage suppliers worldwide, having a direct impact on the growth of Emma.
You will manage suppliers by planning orders and production plans while cooperating with other operational teams in assuring the correct replenishment strategy for our growing business.
You will closely collaborate with the Strategic Procurement team on processes, negotiations, and team projects.
You will work hand by hand with product development been part of new developments and responsible for the implementation and realization in your suppliers.
You will monitor the quality and performance of our supply chain (suppliers, warehouses, and final mile partners) to identify improvement opportunities.
You will proactively manage the relationships with all strategic partners and suppliers fostering collaboration.
You will help deliver best-in-class customer experience to all our stakeholders.
You work very closely with other procurement teams but also other operational teams (Logistics, OPEX, Planning) to master our supply chain from an end-to-end perspective.
You will work closely with international markets you are responsible for granting you the opportunity to create impact and be part of the growth of those markets.
You proactively identify and communicate opportunities for improvement or potential risks.
Day-to-day order management, including transactional issue resolution and critical information gathering regarding schedules, invoices, tracking info, etc.

Who we're looking for:
You obtained a degree in Business Administration, Industrial Management, Engineering or a related field and already have some practical experiences in Supply Chain Management, Procurement or Logistics.
You have a quick grasp and an analytical approach to new tasks and problems.
You are attracted by new projects and challenges that really spur you on.
You are analytically as well as conceptually strong and have a strong organizational talent.
You have an independent, responsible and structured way of working and think process-oriented.
You have a high interest in the continuous further development of existing processes.
You are a communicative team player and have very good English skills.
MS-Office, in particular Excel, you master in your sleep.

What we offer:
A combination of personal and company growth to accelerate your career and help you reach your goals.
The chance to work on exciting and challenging projects either independently or as part of a dedicated, international team.
Responsibility and decision-making authority from day one-you'll create an impact with new, innovative ideas and help shape our company DNA.
To work and learn from experts in diverse fields and get to know your team members at exciting company events.

Become an Emmie

Emma is transforming the world of sleep - and we want the highest-performing people to help us pull it off. We want you. But only if you're willing to go all in. Only if you're willing to question, disrupt, innovate, and create from the ground up.

We proudly celebrate diversity. We are an equal-opportunity employer committed to promoting inclusion in our workplace. We consider all qualified applicants for employment without regard to race, ethnic origin, religion or belief, gender, gender identity or expression, sexual orientation, national origin, disability, or age.

Our aim is to get back to you in a couple of days, however, we are currently receiving a large number of applications and this might lead to a delay in the process. We will get back to you as soon as possible!"
https://www.jobteaser.com/fr/job-offers/10258290-ipsen-global-procurement-purchasing-intern-m-f,Global Procurement Purchasing Intern M/F,Ipsen,Stage 4 à 6 mois ,Boulogne-Billancourt (France) ,"Title:
Global Procurement Purchasing Intern M/F

Department:
Procurement CoE (Stephane MASSERAN (Inherited))

Job Description:

#IpsenTraineeSquad

Ipsen is pleased to open a 6-month internship in the Global Procurement team ! We are looking for a motivated English-speaking, MBA, Managment, or Procurement student to work in our HQ office in Boulogne-Billancourt .

Main responsibilities / job expectations

You will work transversally with the Excellence leaders to support them on different projects. The scope of your mission will be determined depending on your experience and skills to contribute to the delivery of the current roadmap, in the following areas:
Category management
Sourcing strategy
SRM (Supplier relation management)
Supplier risk management
Systems, tools & data
Methodology & best practices

Education / Certifications:/Experience:
The position is part of a small and very dynamic team working closely with the Global Procurement Leaderhisp Team. In this context, you should be agile, curious, dynamic with a strong team spirit to work in an international environment.
Experience in global and multicultural environments is a plus.
Fluent in both English and French.
Master's degree in business / management / procurement.
Excellent organizational skills and the ability to manage and coordinate multiple projects concurrently, meeting established timelines.
Planning, project management, and organizational skills
Effective writing and speaking skills
Good mastery of Excel and PowerPoint.
Rigorous and hands-on.
Ability to work autonomously, with flexibility and commitment

Dans le cadre de ses recrutements IPSEN s'engage au respect de l'égalité de traitement des candidats, indépendamment du sexe, de l'âge, de l'orientation sexuelle, de l'origine ethnique, de la couleur de la peau, de la nationalité, du handicap ou de l'appartenance à un syndicat."
https://www.jobteaser.com/fr/job-offers/10247596-catalent-pharma-solutions-indirect-procurement-expert,Indirect Procurement Expert,Catalent Pharma Solutions,CDI ,Brussels (Belgium) ,"Catalent Pharma Solutions is the leading global provider of advanced delivery technologies and development solutions for drugs, biologics and consumer health products.
For our Sterile Production site located in Brussels, we are currently looking for an Indirect Procurement Expert.
The Indirect Procurement Expert will report to the Procurement Manager

The Role
Site Responsibilities
Manage spend and suppliers assigned with targets and objectives assigned
Ensure that site drives compliance to Procurement Policies and Procedures
Participate in procurement initiatives or continuous improvement effort to reduce cost and improve service level
Support RFQs/RFIs process
Complies with and follows all procedures within the company Security, EHS and Global Trade policies.
Provide functional support to the Procurement department for operational and administrative tasks, validate daily purchase requisitions (PO), process invoice reconciliation, updates prices in ERP, JDEdwards and Internal files, manage internal requirements such as ""Change Control"", and ""Fiches Articles"", assure supplier compliance
Conduct business in an ethical and professional manner to ensure avoidance of all actual and potential conflicts of interest
GPO Responsibilities
Partner with Category leadership to develop and execute strategies for the categories that he/she participates in that creates value to Catalent and meets customers’ expectations.
Stakeholder Management
Ensure site procurement is engaged and aligned with internal customers/stakeholders, gaining stakeholder support at the site.
Partner with Stakeholders for RFP, supplier selection, negotiation and contract execution.
Partner with Finance to define and implement a PPV process. Communicate price changes and / or discrepancies and determine financial impact.
The Candidate:
Bachelor degree, preferably in procurement, supply, purchase
A first experience in purchase/procurement required
A first experience with indirect procurement is a plus
Good communication skills, in French and English
Advanced PC skills (especially in excel)
Organized, problem solving, multi-task, motivated
Able to bridge relationships with variety of individuals, cultures and between departments
Matrix management experience and Lean concept experience preferred but not essential
Why you should join Catalent:
What we offer is an exciting role, a chance to grow and learn new skills in a global company, and in the most challenging quality environment within the pharma industry – a sterile business
Potential for personal development within an international company
Defined career path and annual performance review and feedback process
Contributory pension and benefits package all offered from day one of employment
36 days’ holiday + bank holidays
Catalent’s standard leadership competencies that are used to interview and for Performance & Development:
Leads with Integrity and Respect
Delivers Results
Demonstrates Business Acumen
Fosters Collaboration and Teamwork
Champions Change
Engages and Inspires
Coaches and Develops"
https://www.jobteaser.com/fr/job-offers/10245203-tesla-direct-purchasing-internship-m-w-d-gigafactory-berlin-brandenburg,Direct Purchasing Internship (m/w/d) - Gigafactory Berlin-Brandenburg,Tesla,Stage 6 mois ,(Germany) ,"Tesla is seeking an intern to work directly for the Giga Berlin Direct Purchasing Team. The intern will assist this team in all the direct purchasing related activities.
This includes working with our GSM (Global Supply Manager) counterparts in the US to align on global strategy, and ensure local strategy is in line with global strategy. Complete supplier nomination by looking at total landed cost, while ensuring high quality and having the ability to be comfortable in a dynamic, ever-changing environment, is key. The intern will interact with the global team in EU, US and China in order to understand the global strategy and bring value.
The intern will learn to create suppliers in our system, purchase orders, and make sure that the purchasing process is as smooth as possible The Purchasing team offers the interns an opportunity to develop themselves in an international corporation with both operational and project work during the assignment.
Responsibilities
Supporting conducting RFQs (Review, analyze and clarify quote packages from suppliers)
Learning and understanding the cost drivers and how to  get the best deal for Tesla
Learning of the production process & all cost related to industrializing a part
Presenting sourcing recommendations to management with sound justification
Involved in Procure-to-Pay processes in the Tesla supply chain
Learning and understanding the Tesla procurement systems and processes
Maintain part master, validation schedules and identify areas for improvement
Requirements
Fluency in English (work language); German is a plus (Local in Berlin)
Preferably studying or experienced in Purchasing, Supply Chain or Business Economics or equivalent
Relevant internship experience (Purchasing) in industry preferred (automotive, aero space etc.)
Proficient in Microsoft office, particularly Microsoft Excel.
Capable of working in a fast paced and always changing environment
Proactive work mentality, Analytical mindset and problem-solving oriented
A strong team player"
https://www.jobteaser.com/fr/job-offers/10243564-christian-dior-couture-assistant-merchandiser-accessoires-textiles-chapeaux-f-h-stage,Assistant Merchandiser Accessoires Textiles & Chapeaux F/H - Stage,Christian Dior Couture,Stage 4 à 6 mois ,Paris (France) ,"Poste

From the house of dream to the house of talents

"" Quoi que vous fassiez - pour le travail ou le plaisir - faites-le avec passion ! Vivez avec passion... "" * Christian Dior

Christian Dior fut le couturier du rêve. Dès la fondation de sa Maison en 1947, marquée par la révolution du New Look, il métamorphose ses songes en de merveilleuses créations. Son esprit visionnaire n'a eu de cesse de magnifier les femmes du monde entier, inspirant aujourd'hui et plus que jamais ses successeurs. "" Le tissu est le seul véhicule de nos rêves (...). La mode, en somme, est issue d'un rêve, et le rêve, c'est une évasion "", écrivait-il dans son ouvrage Je suis couturier. Au fil de ses collections, Monsieur Dior est devenu le démiurge du bonheur de ses muses.

Aujourd'hui, riche de cet héritage d'exception et d'une communauté de plus de 8 500 talents, notre Maison incarne plus que jamais la Maison des Talents pensé par Christian Dior. Dans plus de 40 pays, nous faisons rayonner notre savoir-faire, notre audace et notre excellence à travers la passion et la créativité de nos collaborateurs. Rejoignez-nous et créez votre avenir dans notre univers généreux, disruptif et ambitieux où nous grandissons dans l'excellence, le courage et l'optimisme.

*Le Petit Dictionnaire de la Mode

Contexte :

Intégré(e) à l'équipe "" Accessoires Textiles & Chapeaux "" de la Business Unit Accessoires Femme, vous assisterez la Merchandiser sur l'ensemble de ses missions pour piloter ces 2 catégories de produits. A ce titre, vous participerez à la définition des structures des collections, à leur lancement et au suivi des ventes afin de répondre avec justesse aux enjeux business et à la vision créative de la Directrice Artistique.

Descriptif :

Analyses de la performance des catégories de produits et du réseau
Réaliser des reportings de ventes (reportings hebdomadaires et mensuels)
Piloter le réseau à travers un suivi des performances par zone et par boutique
Participer au développement d'analyses ponctuelles (qualitatives et quantitatives) et à la mise en place de plans d'actions pour soutenir les ventes
Aider à la coordination des lancements des collections (création des assortiments, suivi des livraisons et des envois en fonction des plannings d'implantation en zone)

Participation aux sessions d'achat en showroom
Pré-showroom : participer à l'élaboration des macroforecasts et de la buying strategy
Showroom : accompagner les acheteurs tout au long de la session d'achat via une transmission quotidienne d'informations (newsletters, photos produits, analyses quantitatives...) et participer à la réalisation des analyses des Sell-in
Post - showroom : réaliser le bilan quantitatif et qualitatif de la collection

Participation à l'animation de la catégorie et du réseau
Participer à la création de guidelines Visual Merchandising pour animer les assortiments en boutique
Préparer divers supports destinés aux marchés : newsletters produits, ranking, incentive
Préparer des propositions d'ajustements des prix en devises à destination de la Cellule Prix
Assurer une veille marché régulière et en proposer une synthèse (visites boutiques, sites internet, presse, événements...) afin de consolider les analyses liées à l'offre produit


Profil

Etudiant(e) niveau Bac+4/5
Capacité d'analyse
Rigueur et sens du détail
Réactivité, flexibilité, capacité à travailler sous contrainte de délais courts
Sensibilité produit et connaissance du marché du luxe et des accessoires
Maîtrise pack Office (Excel, Power Point)
Anglais

Le stage est à pourvoir à partir du mois de Juillet 2023 et pour une durée de 6 mois.

Ce que vous apprendrez au cours de ce stage :

Au cours de votre stage, vous renforcez vos connaissances sur les logiques du métier de merchandiser ainsi que votre expertise marketing sur le fonctionnement et les enjeux du business Accessoires, marché très stratégique et dynamique.

Encourageant la diversité sous toutes ses formes, Christian Dior Couture s'est engagé depuis 2013 dans une démarche en faveur de l'emploi des personnes en situation de handicap, et de la valorisation de toutes les singularités.

A l'attention des candidats : Veuillez noter que notre période de recrutement se déroule du mois de janvier au mois de mars, pour un stage à pourvoir en juillet 2023."
