URL,Job Title,Company name,Type,Location,Job Description
https://www.jobteaser.com/fr/job-offers/9898296-icg-conseil-urgent-consultant-e-stagiaire-transformation-digitale-6-mois,URGENT - Consultant(e) Stagiaire - Transformation Digitale - 6 mois,ICG Conseil,Stage 4 à 6 mois ,Paris (France) ,"Descriptif du poste
Qui sommes-nous ?
ICG s’est donné pour mission d’accompagner les entreprises dans leurs transformations digitales. De la réflexion stratégique à la mise en œuvre opérationnelle, ICG accompagne ses clients afin de ""Faire de leurs idées une réalité opérationnelle"".
En tant que cabinet de conseil en organisation et en transformation digitale, nous intervenons tant auprès d’entreprises du CAC 40 (BNP Paribas, ACCOR), que dans le secteur du caritatif (SPA, ARC, SOS Village d'Enfant). Ce positionnement nous permet de traiter des problématiques de transformation digitale transversales et en constante évolution.
Grâce à sa diversité de secteurs d’intervention, ICG permet à ses collaborateurs de développer un éventail large d’expertise : étude de faisabilité, pilotage de projets digitaux, pilotage de projet de fundraising, accompagnement aux conformités ou encore marketing et communication digitale.
‍
Nous offrons à nos collaborateurs :
➡la garantie de s’impliquer sur des missions et des secteurs en tenant compte au maximum des appétences de chacun
➡ l’opportunité de contribuer au développement du cabinet dans un contexte de forte croissance
➡ la possibilité de suivre des formations afin de progresser rapidement au sein d’équipes pluridisciplinaires
‍
Les maîtres mots à ICG? Engagement, esprit critique et humilité. Conscient des évolutions sociales, environnementales et éthiques, ICG a mis en place une charte RSE ambitieuse, à l'image de ses collaborateurs.
Vous cherchez un cabinet à taille humaine qui a un vrai goût du challenge? Vous êtes proactif, passionné et vous aimez relever des défis ? N’hésitez pas, ce poste est fait pour vous!
Rejoignez ICG et participez à une aventure enrichissante et constructive !
‍
Votre rôle
Intégré(e) à nos équipes spécialisées en assistance à maîtrise d’ouvrage, vous devrez mener à bien des projets de transformation digitale pour nos clients.
Vous participerez au pilotage de mission de transformation à de forts enjeux. Vous assurerez la coordination entre les différentes parties prenantes et accompagnerez nos clients sur toutes les phases du projet :
➡Recueil des besoins, analyse et préconisation
➡Rédaction de cahier des charges et recherche de solution
➡Planification et coordination du projet
➡Recette des solutions envisagées
➡Accompagnement à la mise en service
➡Conduite du changement auprès des équipes
‍
Détails du Poste
Stage
A pourvoir dès que possible pour 6 mois
Locaux : 2ème arrondissement
Votre Profil
Qui êtes-vous ?
Vous êtes en cours d’obtention d’un diplôme d’école de commerce, école d’Ingénieur ou de l’enseignement supérieur avec un diplôme M1 ou M2, vous êtes en année de césure ou en dernière année d'étude
Vous voulez en apprendre plus sur la gestion de projet
Vous êtes un entrepreneur dans l'âme et vous aimez les challenges
Vous aimez travailler sur une diversité de sujets et de missions
Vous êtes curieux(se), ouvert(e) d’esprit et vous bénéficiez d’un bon esprit d’équipe
Vous avez un esprit analytique et une bonne capacité de synthèse
Vous disposez idéalement d’une première expérience sur un projet digital
Vous êtes passionné(e) de sport, de série, ou d’art ? Vous connaissez l'intégralité des horcruxes?
N’hésitez plus, ICG est fait pour vous.
‍
Déroulement des entretiens
Un entretien RH - 30 minutes
Un entretien avec un de nos consultants - 1 heure
Un échange avec un de nos associés - 1 heure

Les plus ICG
Tickets restaurant
Remboursement du Pass Navigo
Bureaux en plein de coeur de Paris - métro Sentier, Bourse
Des échanges réguliers à la sauce ICG :
Tea-Time Meetings 3 jours par semaine
Diner Time 1 fois par semaine
Apero Time toutes les 2 semaines"

https://www.jobteaser.com/fr/job-offers/10322332-madbox-junior-data-engineer,Junior Data Engineer,Madbox,CDI ,Barcelona (Spain) ,"Madbox is a mobile gaming company, creating and publishing its own games worldwide. Since 2018 Madbox has gathered more than 300 million players, still growing. We are looking for top talents with mad skills, a mad passion and a mad ambition to join us.
Madbox is a fast-growing mobile gaming company with a very unique way of developing games. Everything has been made for teams to take as much ownership as possible, unleash their creativity, bring performance, and have as much fun as possible.
In July 2022, we launched our Pocket Champs game worldwide which quickly became one of the top-grossing games in its category.
We are now entering a new era where we aim at becoming the next Gaming Hit Factory and this is where you come in !


Your journey at Madbox as a Junior Data Engineer :

- Starts by Onboarding on our entire Data Stack both Technically and Business Logic wise.
- Work closely with the Senior Data Engineer and Data Scientist.
- Meet Madbox different departments and key business entities.
- Review the Data Engineering roadmap and agree on the deliverables work plan.
- Take an active part on the daily standup meetings to report your progress and present your ideas.
- Interact directly with the business users and design the data solutions for their requirements.

What will we expect from you ?

Full accountability on the end-to-end data pipelines you implement
Data cleansing and Unit testing
Full transparency on all issues raised during your work
Manage parallel tasks
Fast Onboarding on the existing stack
DQA of all different sources

Madbox IS the right place if you are:
Excited from Data tech and big data
Dynamic and adapt fast to changes
A team player

Madbox is NOT the right place if you are looking for :
Full remote position
Lack of transparency

How do we hire at Madbox ?
A call with the hiring manager
Meet someone from the leadership team
A home assignment
A review of the test with the team you might work with
A call with one of our founder
All our offer are extended within 48 hours maximum

Perks and benefits
At Madbox, we believe that working in a great environment where you can express your creativity is essential. To ensure the best quality of life at work, we provide a place where Madboxers can enjoy perks and benefits, build strong relationship with each other in order to explore & shape their journey together.

What we offer:
Competitive and fair compensation : our compensation grid is regularly reviewed to ensure everyone at Madbox is fairly compensated and receives frequent updates.
ESOP: We have a stock-options system to reward performance and investment
Amazing Offices: Come and explore our offices in the heart of Paris (Bonne Nouvelle Station) and Barcelona (Diagonal Station)! From taking a nap in our “jungle” in Paris Office to soaking up the sun on the rooftop in Barcelona at lunch, we have thought of everything to make you feel right at home. Bonus: Our fantastic Workplace Managers will make sure to provide you with the coffee/tea/snacks/drinks of your choice!
Team Macbook or Team PC?  We provide all the necessary equipment (computer, keyboard, laptop stand, monitor).
Flexible Working Hours: Trust is a key value at Madbox, so you can organize your work as you wish.
Health of Our Madboxers is Essential: We cover Alan (in Paris - 75%) and Sanitas (in Barcelona - 100%) for you and your family.
Transport Fees: We cover 50% of your transport costs.
Catering: Take advantage of the Swile card (Paris) or the Edenred card (BCN) and enjoy the best dishes these beautiful cities have to offer.

This position is available in Barcelona"

https://www.jobteaser.com/fr/job-offers/10322929-generali-italia-stage-it-auditor,Stage IT Auditor,Generali Italia,Stage 4 à 6 mois ,Milan (Italy) ,"Banca Generali (www.bancagenerali.com), the leading private bank in Italy for client financial planning and wealth management through a network of Financial Advisors, at the top of their field in terms of expertise and professionalism, is looking for an IT Auditor junior for its Internal Audit Department in Milan office.

Internal Audit is an independent and objective activity for audit assurance and consulting. It assists the Bank in the achievement of its objectives, through a systematic professional approach, which generates added value on the processes of risk management, controls and governance. IT Auditor performs audit activities on IT processes, starting from the risk assessment, the planning, till to the audit engagements execution, in order to provide assurance to the Top Management on the internal control environment.

The successful candidate will support the ""Audit Governance & Information"" team in:
Application of audit techniques and the main IT and security frameworks
Execution of audit engagements, included in the Audit Plan, also with the support of data analytics tools
Identification and assessment of IT risks and controls
Reporting of audit activities, communication of audit results to auditees and the monitoring of remedial actions
Monitoring and the evaluation of effectiveness and efficiency of the internal control system.


Must Have:
Good knowledge of computer work and advanced command of MS Office (word, excel, outlook, power point, access)
English B2
Use of data analytics techniques
Advanced university education in in the field of Economics, Information Technology, Engineering or Mathematics and excellent academic record
Qualification in the field of Internal Audit, Risk Management, Information Technology or IT Security.

Nice to have:
Flexibility and analytical skills
Self-motivated and able to work both independently and in team
Ability to communicate complex ideas effectively, both verbally and in writing
Interest in new technologies


Generali is proud to be an inclusive employer that considers applicants regardless of gender, gender identity, sexual orientation, ethnicity, disability, religion, political views, marital status or philosophy of life. If you have a disability or special need that requires accommodation or assistance we will support you during the selection process.

Additional Information
Contract Type: Internship"

https://www.jobteaser.com/fr/job-offers/10322743-nutanix-graduate-systems-engineer-dutch-speaking,Graduate Systems Engineer - Dutch Speaking,Nutanix,CDI ,Barcelona (Spain) ,"The Opportunity
This role is based in Barcelona, Spain.
The Associate Customer Success Systems Engineer is an exciting, brand-new role for an upcoming or recent graduate where you’ll have a direct impact on current and future Nutanix products and solutions. This team works on the post-sale side of the transaction - internally and externally with the client to ensure product optimization and identify potential areas for further sales.

You'll spend the first year in a structured training program, becoming a subject matter expert (SME) on Nutanix products and gaining industry recognised certifications. You will shadow some of our experienced Systems Engineers to grow your skills, knowledge and confidence to provide our customers with an outstanding experience.
Customer Success Engineering at Nutanix
As part of this dynamic team, you will be a technical representative of Nutanix products providing direct technical guidance to our customers.
You will focus on ensuring effective adoption of our subscription products and become the subject matter expert to help customers deeply understand a specific Nutanix technology, moving the Nutanix conversation and adoption forward.
We are looking for motivators and go-getters who will improve our processes, our products, and ourselves. You can quickly absorb solutions, have empathy for customers, as well as excellent communication skills, and a drive for continuous improvement.
 Your Role
Act as the subject matter expert (SME) on a narrow list of products to assist and add value to the customer
Present Nutanix solutions value proposition to customers and partners remotely through webinars and video conferencing
Build long-term business relationships and become a trusted advisor to identify new opportunities and sell Nutanix solutions
Receive formalized industry-specific training and certifications in addition to informal coaching and mentoring
Participate in and lead customer workshops
What You’ll Bring
A Bachelor’s or Advanced degree from an accredited college/university in Computer Science, Information Technology, or similar subject, with a graduation date before August 2023
The ability to speak Dutch at a Native level, along with professional level of English
An enthusiasm for technology and the ability to speak to current and future trends
The ability to work with a wide variety of people and to collaborate with geographically distributed teams, effectively communicating everything from data points, technical product details, to delivering critical feedback
A customer-first mindset - you're passionate about delivering a high-quality customer experience, giving customers what they need to succeed
A focus on value-added interaction with our customers toward ensuring effective adoption of our subscription products
Your Team
“This role has lots of learning opportunities for the self-motivated go getters.” – Santiago

“Being a Customer Success Systems Engineer blends a great balance of being technical and solving real business solutions. It challenges me to understand industry trends, product adoption best practices, and system integrations. This role is for anyone who is excited to give customers the best continued onboarding experience with Nutanix!”- Ruben
How We Work
We are fully hybrid team with employees working across different countries and locations. You and the other graduates that are joining us will mostly be based in our office in Barcelona, overlooking the beach, but we encourage flexibility, so you'll also have opportunities to work from home. There will also be occasional travel for team events.
You will stay connected to your manager, mentor and peers through regular meetings and daily chats.
Learn more about Nutanix , or take an in-depth look into our platform architecture with the Nutanix Bible!"

https://www.jobteaser.com/fr/job-offers/10322893-axa-im-real-assets-financial-controller-intern,Real Assets - Financial Controller Intern,,Stage 6 mois ,Puteaux (France) ,"At AXA IM, we act for human progress by investing for what matters, actively and responsibly. Join us and you’ll build a career in a truly diverse, entrepreneurial organization. You’ll be part of a mission to tackle some of the world’s most stimulating challenges, pushing boundaries and exploring fresh ideas that aim to deliver long-term prosperity.
1.    AXA IM Alts
With €190bn assets under management, AXA IM Alts, the alternatives business unit of AXA IM, is a global leader in alternatives investment, operating in real estate, private debt & alternative credit, private equity & infrastructure and hedge funds. Our 800+ employees operating from 16 offices around the world are serving the needs of more than 500 clients worldwide.
Our goal is to enhance the value of assets we manage on behalf of our clients by adopting a proactive approach to responsible investment. We fully integrate ESG criteria into our investment decisions and advise clients on both financial and non-financial risks and opportunities.
We pride ourselves on fostering a culture of high performance, which means we seek to recruit and retain people who are not only technically qualified, but also open to the world, innovative and able to harness their unique perspectives and life experiences to support our success as a business.
2.    Description of the department
The successful candidate will join the Financial Management Controlling Group ( FMCG) department which is in charge of monitoring the investment performance of all funds and portfolios managed by AXA REIM SGP. It covers a wide range of activities, controlling and reporting financial data, but also implementing leverage and hedging strategies and ensuring proper governance on all managed entities or funds across Europe. Through this position, you will be assigned to a dedicated investment fund (logistics, residential, FoF etc).
3.    The main responsibilities of the role
This internship postion will be the opportunity for you to further develop your skills in an international and fast-moving environment and to prepare you for a future carrer in the world of finance.
As an intern, you will work closely with the Finance Manager and the Financial Controllers, who will mentor  you throughout the internship.
Your main responsibilities will include:
•    Assistance with the day-to-day management of the fund and the entities of the fund (review of the quarterly reporting packs; management of the cash; follow up on the timely payment of invoices; coordination of signature of legal documents etc)
•    Contribution to the elaboration of the quarterly reportings addressed to investors, banks and other internal or external parties
•    Support of the Financial Controllers with any administrative tasks required (incorporation of new entities; requests of documents from AXA Teams/accountants/ banks/auditors etc)
•    Assistance with different tasks and ad-hoc missions assigned by the Finance Manager and the Financial Controllers
•    Recommendation of process improvements
  4.    Profile
Education/Qualifications
Postgraduate studies in Finance, Management, Engineering or Real Estate and seeking for a final-year internship
Experience
Proven interest in real estate (any previous internship within asset management or with a focus on real estate would be considered as a plus)
Competencies
Accomplished interpersonal skills, ability to work efficiently in a team in an international and matrix environment
Autonomous, curious and result driven culture
Strong analytical and synthesis capacity
Good verbal, written communication and presentation skills
Fluent in English and French
 Proficency in MS Office
5.    What does this internship offer
This internship is an excellent opportunity to discover an international working environment. Due to our leading position on the market you will gain a strong exposure to a variety of complex issues of an European real estate asset manager.
You will be fully integrated to our team and you will have the opportunity to work together and discover other departments such as Fund Management, Transactions, Development and Asset Controlling
You will join a growing platform which will allow you to take-over responsibilities rapidly
Please join us to realize your potential to drive progress, for yourself, our clients and the world in which we live."

